venue_abbr,venue_name,venue_old
Rosebud Hotel,Rosebud Hotel,Rosebud Hotel
Rosebud RSL,Rosebud RSL,Rosebud RSL
Rosstown Hotel,Rosstown Hotel,Rosstown Hotel
Roxburgh Park Hotel,Roxburgh Park Hotel,Roxburgh Park Hotel
Royal Exchange Hotel,Royal Exchange Hotel,Royal Exchange Hotel
Royal Hotel,Royal Hotel (Benalla),Royal Hotel Benalla
Royal Hotel,Royal Hotel (Daylesford),Royal Hotel Daylesford
Royal Hotel ,Royal Hotel (Essendon),Royal Hotel Essendon
Royal Hotel ,Royal Hotel (Horsham),Royal Hotel Horsham
Royal Hotel,Royal Hotel (Sunbury),Royal Hotel Sunbury
Royal Oak Hotel,Royal Oak Hotel,Royal Oak Hotel - Cheltenham
Royal Oak Richmond,Royal Oak Richmond,Royal Oak - Richmond Football Club
Rubicon Hotel,Rubicon Hotel,Rubicon Hotel Motel
Rye Hotel,Rye Hotel,Rye Hotel
Rye RSL,Rye RSL Club,Rye RSL
Sale Greyhound Racing Club,Sale & District Greyhound Racing Club,Sale Greyhound Racing Club
Sale RSL,The Sale RSL,The Sale RSL & Community Sub-Branch
Sanctuary Lakes Hotel,Sanctuary Lakes Hotel,Sanctuary Lakes Hotel
Sandbelt Club Hotel,Sandbelt Club Hotel,Southside Six Hotel (Sandbelt)
Sandown Park Hotel,Sandown Park Hotel,Sandown Park Hotel
Sandringham Hotel,Sandringham Hotel,Sandringham Hotel
Sands Hotel,The Sands Hotel,Sands Taverner
Seaford RSL,Seaford RSL,Seaford RSL
Seaford Taverner,Seaford Taverner,Seaford Taverner
Sebastopol Bowling Club,Sebastopol Bowling Club,Sebastopol Bowling Club
Seymour Club,Seymour Club,Seymour Club Inc
Shamrock Hotel,Shamrock Hotel,Shamrock Hotel
Shanghai Club,Shanghai Club,Shanghai Club
Shell Club,Shell Club,Shell Club
Shepparton Club,Shepparton Club,Shepparton Club
Shepparton RSL,Shepparton RSL,Shepparton RSL
Sherbourne Terrace,Sherbourne Terrace,Sherbourne Terrace Hotel
Shoppingtown Hotel,Shoppingtown Hotel,Shoppingtown Hotel
Sir Henry Barkly,Sir Henry Barkly,Sir Henry Barkly Hotel
Skyways Taverner,Skyways Taverner,Skyways Taverner
Somerville Hotel,Somerville Hotel,Sommerville Hotel
South Oakleigh Club,South Oakleigh Club,South Oakleigh Club
Sphinx Entertainment Centre,Sphinx Entertainment Centre,Sphinx Hotel
